,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jaisinghnagar,0,1527963601,54,23.63,78.57,82.25,1.52
1,Silver City,1,1527962100,10,32.77,-108.28,87.8,3.65
2,Cabo San Lucas,5,1527957900,35,22.89,-109.91,95.0,8.05
3,Airai,12,1527963602,92,-8.93,125.41,64.07,1.63
4,Parksepa,0,1527961800,46,57.91,26.98,71.6,11.41
5,Radcliff,40,1527962100,62,37.84,-85.95,86.0,4.7
6,Khorinsk,48,1527963603,53,52.16,109.78,50.57,8.01
7,Havre,1,1527961980,30,48.55,-109.68,69.8,19.46
8,Thompson,90,1527962400,93,55.74,-97.86,41.0,8.05
9,Mosquera,75,1527958800,52,4.71,-74.23,66.2,12.75
10,Machala,40,1527958800,65,-3.26,-79.96,80.6,3.36
11,Voh,0,1527963604,100,-20.95,164.69,69.02,4.99
12,Tuktoyaktuk,40,1527962400,99,69.44,-133.03,44.6,4.7
13,Mabay,40,1527958260,62,20.35,-76.78,86.0,5.82
14,Sao Joao da Barra,0,1527958800,45,-21.64,-41.05,86.0,6.93
15,Lavrentiya,88,1527963605,96,65.58,-170.99,32.84,15.5
16,Kasongo-Lunda,12,1527963606,58,-6.48,16.82,77.21,3.31
17,Lethem,48,1527963606,100,3.38,-59.8,81.17,9.01
18,Erenhot,0,1527963606,36,43.65,111.97,51.2,20.2
19,Dunedin,0,1527963606,88,-45.87,170.5,19.34,4.43
20,Tual,64,1527963606,100,-5.67,132.75,80.81,16.84
21,Takehara,40,1527962100,73,34.35,132.9,69.8,6.93
22,Punta Arenas,0,1527958800,81,-53.16,-70.91,42.8,18.34
23,Broken Hill,0,1527963607,81,-31.97,141.45,35.18,5.77
24,Bambous Virieux,40,1527958800,69,-20.34,57.76,75.2,10.29
25,Brigantine,75,1527962160,74,39.41,-74.36,84.2,4.7
26,Thurles,0,1527963608,68,52.68,-7.82,65.24,8.46
27,Ormara,32,1527963608,95,25.21,64.64,82.52,12.03
28,New Norfolk,75,1527962400,93,-42.78,147.06,41.0,14.99
29,Broome,90,1527962160,100,52.47,1.45,71.6,4.7
30,Meulaboh,0,1527963608,100,4.14,96.13,80.54,1.41
31,Watrous,56,1527963608,98,51.67,-105.46,51.74,16.62
32,Lucapa,0,1527963609,59,-8.42,20.74,69.38,4.43
33,Hilo,1,1527961980,83,19.71,-155.08,73.4,5.82
34,Ayr,20,1527961800,87,55.46,-4.63,66.2,2.24
35,Atuona,68,1527963609,100,-9.8,-139.03,78.29,11.59
36,Sur,0,1527963609,84,22.57,59.53,88.01,8.9
37,Voyvozh,88,1527963610,97,62.89,54.96,32.93,6.67
38,Usinsk,88,1527963610,80,66.0,57.56,35.54,10.8
39,Tezu,76,1527963610,84,27.93,96.16,67.67,1.07
40,Poum,32,1527963610,92,41.28,20.71,62.0,1.74
41,Yichang,56,1527963611,96,30.77,111.32,66.32,3.65
42,Kodiak,90,1527958380,73,39.95,-94.76,73.4,18.34
43,Agua Verde,5,1527961620,55,22.89,-105.97,89.6,9.17
44,Bontang,8,1527963612,100,0.12,117.47,81.44,6.89
45,Benghazi,0,1527963590,98,32.12,20.07,72.89,10.8
46,Toora-Khem,0,1527963612,85,52.47,96.11,39.41,1.97
47,La Rioja,88,1527963403,100,-29.41,-66.86,46.79,4.21
48,Nuevo Progreso,1,1527962100,42,26.05,-97.95,98.6,17.22
49,Coquimbo,0,1527958800,67,-29.95,-71.34,59.0,10.29
50,Atambua,0,1527963613,100,-9.11,124.89,76.49,9.57
51,Kambove,0,1527963613,49,-10.88,26.6,63.44,5.99
52,Simpang,75,1527962400,88,4.82,100.71,78.8,3.36
53,Taraz,90,1527960600,100,42.89,71.39,62.6,6.71
54,Vieste,0,1527963614,95,41.88,16.18,76.76,5.21
55,Nikolskoye,0,1527960600,52,59.7,30.79,69.8,17.9
56,East London,0,1527962400,87,-33.02,27.91,59.0,5.82
57,Newtownards,20,1527961800,87,54.59,-5.69,66.2,9.17
58,Khatanga,76,1527963615,80,71.98,102.47,40.22,14.83
59,Dunmore Town,8,1527963505,99,25.5,-76.65,80.63,7.11
60,Ponta do Sol,0,1527963615,48,-20.63,-46.0,79.19,4.32
61,Mporokoso,0,1527963615,37,-9.37,30.12,68.84,9.8
62,Saint-Augustin,0,1527962400,54,44.83,-0.61,78.8,9.17
63,Graaff-Reinet,0,1527963616,39,-32.25,24.53,53.99,6.55
64,Mizdah,64,1527963616,30,31.45,12.98,84.95,3.31
65,Port Hedland,8,1527962400,77,-20.31,118.58,66.2,6.93
66,Seoul,1,1527962160,100,37.57,126.98,62.6,3.36
67,Canavieiras,75,1527958800,83,-15.68,-38.95,80.6,4.7
68,Kusa,88,1527963617,65,55.34,59.45,41.39,8.68
69,Binga,0,1527963617,65,-17.62,27.34,71.18,1.41
70,Dombarovskiy,12,1527963617,60,50.76,59.54,43.28,13.94
71,Yanji,0,1527963618,84,42.89,129.5,57.14,2.42
72,Hirara,68,1527963618,100,24.8,125.28,78.74,12.15
73,Alice Springs,0,1527962400,55,-23.7,133.88,35.6,4.7
74,Ranong,0,1527962400,100,9.96,98.62,75.2,7.9
75,Ahipara,80,1527963619,100,-35.17,173.16,56.96,7.56
76,Ayagoz,32,1527963619,44,47.96,80.43,71.72,17.07
77,Saint Anthony,1,1527962160,41,43.97,-111.68,59.0,5.82
78,Emerald,0,1527963620,85,-23.53,148.16,38.69,4.76
79,Taitung,56,1527963492,100,22.76,121.15,74.96,5.1
80,Georgetown,40,1527958800,66,6.8,-58.16,84.2,9.17
81,Corner Brook,75,1527962400,76,48.95,-57.95,59.0,17.22
82,Dingle,68,1527963621,95,11.0,122.67,74.33,3.65
83,Gizo,40,1527961800,73,31.8,34.94,75.2,6.93
84,Araouane,32,1527963621,12,18.9,-3.53,107.09,4.43
85,Bardstown,40,1527962100,62,37.81,-85.47,86.0,4.7
86,Spanish Town,40,1527962400,70,18.0,-76.95,86.0,14.99
87,Margate,75,1527962400,93,-43.03,147.26,41.0,14.99
88,Dharchula,0,1527963622,100,29.85,80.53,45.08,1.52
89,Guerrero Negro,0,1527963623,58,27.97,-114.04,73.34,9.46
90,Umm Kaddadah,0,1527963623,14,13.6,26.69,87.29,8.01
91,Jalingo,32,1527963623,53,10.3,10.93,86.75,3.65
92,Mwene-Ditu,0,1527963623,59,-7.01,23.45,71.27,5.1
93,Jaru,88,1527963624,69,-10.43,-62.48,84.32,3.76
94,Whitefish,1,1527958500,55,48.41,-114.33,60.8,9.17
95,Souillac,0,1527962400,54,45.6,-0.6,78.8,8.05
96,Aswan,0,1527963624,18,24.09,32.9,86.12,12.26
97,Bonfim,48,1527963625,100,3.36,-59.84,81.17,9.01
98,Bosaso,8,1527963625,91,11.28,49.18,88.19,1.3
99,Ikongo,92,1527963625,96,-21.88,47.44,62.0,3.53
100,Cidreira,32,1527963625,87,-30.17,-50.22,59.03,17.29
101,Katobu,76,1527963626,100,-4.94,122.53,75.23,2.75
102,Talas,40,1527961800,52,38.69,35.55,64.4,4.7
103,Anadyr,90,1527958800,100,64.73,177.51,37.4,35.79
104,Pacific Grove,1,1527962100,68,36.62,-121.92,80.6,5.82
105,Paita,0,1527958800,65,-5.09,-81.11,80.6,13.87
106,Kibondo,44,1527963627,71,-3.59,30.72,69.02,2.3
107,Prince Rupert,90,1527962400,76,54.32,-130.32,51.8,9.17
108,Klaksvik,8,1527961800,93,62.23,-6.59,50.0,10.29
109,Kavieng,76,1527963627,100,-2.57,150.8,80.27,6.89
110,Butaritari,80,1527963628,100,3.07,172.79,82.16,8.46
111,Valparaiso,75,1527963300,73,41.47,-87.06,77.0,4.7
112,Lebu,80,1527963628,95,8.96,38.73,56.24,2.98
113,Verkhnyaya Toyma,0,1527963629,69,62.24,45.0,42.56,6.44
114,Nome,40,1527962100,59,30.04,-94.42,93.2,6.93
115,Wick,40,1527962160,82,51.45,-2.43,71.6,5.82
116,Zhanjiang,68,1527963629,88,21.2,110.4,85.4,11.25
117,Clarence Town,75,1527962400,82,-32.59,151.78,60.8,20.8
118,Mettupalayam,40,1527962400,78,11.31,76.94,80.6,4.7
119,Isangel,68,1527963630,100,-19.55,169.27,76.31,10.69
120,Basco,1,1527963300,78,40.33,-91.2,75.2,4.7
121,Beoumi,64,1527963630,88,7.67,-5.58,81.98,3.42
122,Tura,64,1527963631,93,25.52,90.21,76.76,1.74
